bin_edges,bin_counts_bb,bin_counts_Bi214,bin_counts_Bi214_wire,bin_counts_Tl208,bin_counts_K40,bin_counts_Pa234m,bin_counts_neutrons,bin_errs_bb,bin_errs_Bi214,bin_errs_Bi214_wire,bin_errs_Tl208,bin_errs_K40,bin_errs_Pa234m,bin_errs_neutrons
2100.0,632.6074463367718,0.36967839480000003,0.2577263831999999,0.0025871353002271218,0.0,0.5851268279999999,0.21807114325201837,2.4771400525037026,0.004564974580642579,0.022869518378079167,0.00017096271282840452,0.0,0.23887702723554277,0.040570085673838005
2200.0,338.7977688008029,0.31020741180000005,0.24352099199999994,0.0024967550277301045,0.0,0.0,0.14835355856166643,1.8128158194245256,0.004181695580456938,0.022230323424072513,0.000167949918042755,0.0,0.0,0.032000156275103726
2300.0,159.5437958438962,0.24244995060000002,0.24352099199999994,0.002880871185842428,0.0,0.0,0.21392071345280783,1.2440085689292824,0.0036968972375888897,0.022230323424072513,0.00018040715160618087,0.0,0.0,0.038341049228141036
2400.0,64.04837572697267,0.18698128020000002,0.14002457039999996,0.0033666651505138965,0.0,0.0,0.2483846953093689,0.7882018898624351,0.003246574649325366,0.01685697736057234,0.00019502567578067058,0.0,0.0,0.04249566413889404
2500.0,20.049673273913754,0.1318508334,0.10755510479999997,0.004326955545794706,0.0,0.0,0.21826977995783636,0.4409984484539555,0.002726263118126723,0.014773829850888348,0.0002210971000803171,0.0,0.0,0.03891160112512146
2600.0,4.4522496529881055,0.08872732440000002,0.06696827279999998,0.0056148744288772034,0.0,0.0,0.1314145406820444,0.20781321727332872,0.0022364285172619854,0.011657679952425715,0.00025186153957046923,0.0,0.0,0.02977914618254586
2700.0,0.8050908958562367,0.047125821600000006,0.04667485679999999,0.006326619074791214,0.0,0.0,0.24650581498508473,0.08837020640809669,0.0016298806211146142,0.00973238041684987,0.0002673484514553193,0.0,0.0,0.041146608113042736
2800.0,0.038799561246083705,0.022435498800000002,0.020293415999999995,0.008077736854420925,0.0,0.0,0.21654008119867285,0.019399780623041853,0.0011245899380019726,0.006417341606530354,0.0003020902303248491,0.0,0.0,0.03895882443893006
2900.0,0.0,0.007610031000000001,0.008117366399999998,0.0071061489250779895,0.0,0.0,0.18964859694142433,0.0,0.0006549671850471596,0.0040586832,0.00028334071280283204,0.0,0.0,0.0387993835531816
3000.0,0.0,0.0014656356000000003,0.0020293415999999994,0.006529974687909504,0.0,0.0,0.18978571129332522,0.0,0.00028743478939293344,0.0020293416,0.0002716111401645482,0.0,0.0,0.03389716507918547
3100.0,0.0,0.0003945942,0.0,0.006484784551660995,0.0,0.0,0.1950229651376958,0.0,0.00014914258885549762,0.0,0.0002706696775738763,0.0,0.0,0.03558888155676765
3200.0,0.0,0.0,0.0,0.0053098410091997695,0.0,0.0,0.23889417683335523,0.0,0.0,0.0,0.0002449247020329189,0.0,0.0,0.04080684796409716
3300.0,0.0,0.0,0.0,0.0042930629436083246,0.0,0.0,0.20611366523417018,0.0,0.0,0.0,0.00022022948221405548,0.0,0.0,0.03645422645788818
3400.0,0.0,0.0,0.0,0.0027453007770969024,0.0,0.0,0.25640467765947506,0.0,0.0,0.0,0.00017611112696259835,0.0,0.0,0.04298424844923629
