t,nu0bb,nu0bb_RH_eta,nu0bb_RH_lambda,nu0bb_M1,nu0bb_M2
2.7777777777777777,3.7254712670288323e24,3.6015123125432263e24,1.9832652261640062e24,1.488431799745591e23,2.545711484140064e22
2.8282828282828283,3.7739527067872884e24,3.646158161580926e24,2.0078506092489557e24,1.5036113847562819e23,2.568750066709226e22
2.878787878787879,3.8223154877444997e24,3.697435620816401e24,2.0360878587603828e24,1.5151378866985268e23,2.5915838496862686e22
2.9292929292929295,3.8696356915898254e24,3.74194973383924e24,2.060600698026338e24,1.531491961383426e23,2.6142181995179263e22
2.9797979797979797,3.909887253633227e24,3.792966725255232e24,2.0886945142452798e24,1.5478789458118632e23,2.636658252300968e22
3.0303030303030303,3.956653294621028e24,3.837114345463145e24,2.1130055348327453e24,1.5630315216890317e23,2.6589089273916177e22
3.080808080808081,4.0038571999612563e24,3.8877057353333805e24,2.140864982632909e24,1.57536766906763e23,2.6809749399983006e22
3.1313131313131315,4.051317203351656e24,3.937378295835937e24,2.1682184534501948e24,1.5899839121822947e23,2.702860812849034e22
3.1818181818181817,4.0986993990008317e24,3.9798337298814797e24,2.1915976282793283e24,1.6014022558483987e23,2.724570887015235e22
3.2323232323232323,4.1457014414564597e24,4.029096876783151e24,2.2187256449853164e24,1.6165677940469452e23,2.746109331965323e22
3.282828282828283,4.186043717976534e24,4.0713028728430205e24,2.24196746038315e24,1.6321700985596805e23,2.767480154914048e22
3.3333333333333335,4.2324098106831384e24,4.1194698804271154e24,2.2684918598297965e24,1.647156606015496e23,2.7886872095269356e22
3.3838383838383836,4.2786941306241517e24,4.160336984386132e24,2.2909963799153363e24,1.661975144541077e23,2.8097342040333953e22
3.4343434343434343,4.324918476232562e24,4.208152386139598e24,2.3173271585836297e24,1.676165481313125e23,2.8306247087968454e22
3.484848484848485,4.3710613834875263e24,4.248763357442012e24,2.3396906326454323e24,1.6865548335167886e23,2.851362163385646e22
3.5353535353535355,4.4171439548245335e24,4.2953141747813985e24,2.3653250354370536e24,1.698661106906459e23,2.8719498831844753e22
3.585858585858586,4.4622764179290684e24,4.334385868724295e24,2.3868408668988517e24,1.713906982251426e23,2.8923910655821367e22
3.6363636363636362,4.501491408711711e24,4.3807268411104424e24,2.412359713179061e24,1.7287682344418616e23,2.91268879576851e22
3.686868686868687,4.5465281282755357e24,4.419731478552792e24,2.4338386182571117e24,1.742905616487412e23,2.932846052170393e22
3.7373737373737375,4.59064160237869e24,4.4648138549106794e24,2.4586643863190563e24,1.7560342272863212e23,2.9528657115533562e22
3.787878787878788,4.634778449494902e24,4.509785584088735e24,2.483429223670486e24,1.7672752448707927e23,2.972750553814356e22
3.8383838383838382,4.6788474887592147e24,4.5471313661206996e24,2.5039946374245747e24,1.7787416364221343e23,2.9925032664877077e22
3.888888888888889,4.7241722707199976e24,4.5919486426227813e24,2.5286744214443016e24,1.7909175404850587e23,3.0121264489851104e22
3.9393939393939394,4.770020640754798e24,4.6299137244177623e24,2.5495808685138354e24,1.805396970830213e23,3.031622616588631e22
3.98989898989899,4.8106506043285964e24,4.6752473155972956e24,2.5745449744674297e24,1.819366513009553e23,3.0509942042140533e22
4.040404040404041,4.855383441703696e24,4.713607944906291e24,2.595669239931505e24,1.832425704158274e23,3.0702435699605e22
4.090909090909091,4.899576923104479e24,4.7587830663983543e24,2.6205460804828776e24,1.8431031835609365e23,3.089372998460989e22
4.141414141414141,4.943638020895215e24,4.796477256471134e24,2.6413033540702526e24,1.8560085266535794e23,3.1083847040474072e22
4.191919191919192,4.988111894743411e24,4.840869489384287e24,2.6657490769244553e24,1.866863551736824e23,3.1272808337423e22
4.242424242424242,5.033497233822398e24,4.878241344064486e24,2.6863288482517265e24,1.8773550515771985e23,3.146063470088927e22
4.292929292929293,5.0787494067e24,4.922487460992891e24,2.7106941085873014e24,1.8911551205317805e23,3.164734633830146e22
4.343434343434343,5.118372353959837e24,4.966660114901719e24,2.7350189146249333e24,1.9046164146698933e23,3.183296286445871e22
4.393939393939394,5.161421571419536e24,5.004005937527572e24,2.755584350733089e24,1.9179402541003098e23,3.201750332558135e22
4.444444444444445,5.204270101089452e24,5.048043673842876e24,2.7798348609337455e24,1.929170898474849e23,3.220098622212085e22
4.494949494949495,5.247139484700134e24,5.085389717729525e24,2.800400418884839e24,1.9401188561468363e23,3.2383429530406785e22
4.545454545454546,5.289270261191172e24,5.12896135419189e24,2.8243942592340476e24,1.951778571968745e23,3.2564850723201955e22
4.595959595959596,5.331366881481633e24,5.165291855757658e24,2.8444005827314136e24,1.960514389421715e23,3.274526678923278e22
4.646464646464646,5.373410587700802e24,5.208392283420426e24,2.8681349398565186e24,1.972681706063534e23,3.2924694251756327e22
4.696969696969697,5.410007861424306e24,5.244707442982378e24,2.888132814885566e24,1.9861177526794975e23,3.310314918622156e22
4.747474747474747,5.45199797649019e24,5.287400907960314e24,2.9116430675592265e24,1.9992150374949298e23,3.3280647237078274e22
4.797979797979798,5.493926769141321e24,5.322703355715494e24,2.9310832668298156e24,2.011596635159259e23,3.3457203633783417e22
4.848484848484849,5.535811521913785e24,5.364984844776728e24,2.954366654387185e24,2.0240003478733987e23,3.3632833206051116e22
4.898989898989899,5.577644587403501e24,5.400408126170758e24,2.973873393803492e24,2.0336270416627892e23,3.3807550398389706e22
4.94949494949495,5.619418018994719e24,5.44332431757684e24,2.997506296503463e24,2.0437983287824767e23,3.3981369283965954e22
5.0,5.655113404865486e24,5.486908533627337e24,3.0215070641258646e24,2.0519530020576705e23,3.4154303577834362e22
