mass_keV,sensitivity_yr
1100,3.5804025263903565e20
1100,4.874420629332159e20
1100,4.9699755401622874e20
1100,2.731150585798519e20
1100,4.8473698901586064e20
1100,1.48439516308179e20
1100,8.249251534606914e20
1100,4.914698665531424e20
1100,3.113959600083629e20
1100,2.027075647260632e20
1100,6.542887979709836e20
1100,4.1024543399510914e20
1100,3.0088235361216895e20
1100,3.1920197006740934e20
1100,3.8078016242507855e20
1100,4.013962422444268e20
1100,5.6334024387462326e20
1100,2.56334011667489e20
1100,6.294214568304991e20
1100,3.122191126689928e20
1100,3.865549468367987e20
1100,3.8544733949823884e20
1100,1.1241405510925079e22
1100,3.27391817657206e20
1100,5.248805707220003e20
1100,4.4106741593390114e20
1100,5.978693706407214e20
1100,3.472525541126747e20
1100,6.34084488179192e20
1100,4.069371019133402e20
1100,5.68873622974453e20
1100,4.587908894941995e20
1100,5.1240728445266874e20
1100,6.391249320431034e20
1100,6.901428849775232e20
1100,1.9569025100449825e20
1100,5.8524242752183435e20
1100,2.8940009251970276e20
1100,3.391298448474898e20
1100,6.193572898335316e20
1100,3.805893809805433e20
1100,3.541122831464247e20
1100,7.354900705968882e20
1100,5.440168142836436e20
1100,6.174581764638968e20
1100,2.9513801234799074e20
1100,5.8728948047912665e20
1100,3.4244228698446234e20
1100,3.431154754137252e20
1100,3.757764013415015e20
1100,4.755073361763384e20
1100,3.515530686826733e20
1100,4.489941678102243e20
1100,8.001336154429713e20
1100,4.888076311074122e21
1100,2.9720388354636834e20
1100,6.673427232428846e20
1100,6.910371798503235e20
1100,2.236045818829954e20
1100,2.4214788839855545e20
1100,3.5251199650934745e20
1100,8.315722991747944e20
1100,2.260812158101129e21
1100,7.367748377308011e20
1100,2.21413139262428e20
1100,4.6269013576863115e20
1100,5.0015676015509923e20
1100,2.2882228431179147e20
1100,5.4099871363654536e20
1100,3.3671400712719014e20
1100,3.8596611709153955e20
1100,3.5335272725965944e20
1100,3.234455099621938e20
1100,4.446278247272724e20
1100,4.030798658425858e20
1100,3.64481729979506e20
1100,7.19899319312594e20
1100,6.788514756001048e20
1100,7.308342226942516e20
1100,3.8081055504045434e20
1100,4.580038546302858e20
1100,3.247882992738597e20
1100,6.151401766498814e20
1100,5.4155065158371915e20
1100,4.7000004753601534e20
1100,3.2164591497983656e20
1100,3.9752620771650024e20
1100,5.257247446637181e20
1100,5.4730299539757793e20
1100,3.015312024145502e20
