mass_keV,sensitivity_yr
1400,5.145399393017918e20
1400,8.907612690900885e20
1400,3.3768671658364115e20
1400,1.0144940412664125e21
1400,5.1852728341716835e20
1400,2.7394656627898647e20
1400,4.995125764761316e20
1400,8.415381347801907e20
1400,9.656607588313389e20
1400,3.3229656499359036e20
1400,8.566781156333608e20
1400,6.506274022836478e20
1400,8.743968010530217e20
1400,6.461903148564633e20
1400,4.1454906386173624e20
1400,5.2933977473878616e20
1400,5.3809691445409815e20
1400,5.730047894645867e20
1400,3.7174622362963195e20
1400,9.819371811451981e20
1400,3.5038719551735726e20
1400,4.2409017925565134e20
1400,7.063170348881045e20
1400,7.402680774362582e20
1400,4.7642580201623414e20
1400,9.770089956320486e20
1400,6.982929241496127e20
900,2.214305208264062e20
900,1.193022182498452e21
900,3.061041329524233e20
900,1.201997070260014e22
900,3.6705013005641305e20
900,4.761457624512923e20
900,3.754486945276266e20
900,2.99175192934243e20
900,3.142910978903755e20
900,5.837370022814576e21
900,1.8851413166591135e20
900,1.5633234147373724e20
900,4.260651180547613e22
900,3.352239717378573e20
900,2.5505508879210178e20
900,2.4271868104582264e20
900,7.273084465030601e20
900,3.50946859182554e20
900,6.415918808449622e21
900,4.430037077020568e21
900,1.3173117333839737e22
900,3.984738894758243e20
900,2.5502030265521894e20
900,3.310243818113621e20
900,2.6536296405445293e20
900,1.7000250144377222e20
900,3.082665332026738e20
900,3.0419113034071985e20
900,1.930815740242312e20
900,1.9381549468247536e20
900,2.0473643202325355e20
900,3.769043148009979e21
900,2.595243681173105e20
900,2.5898360300772098e20
900,3.293939517283863e20
900,4.050023948362359e20
900,1.7562128810189383e20
900,2.6657721306030876e20
900,2.6968338744126557e20
900,3.0307885366291726e20
900,1.4540402217266897e20
900,3.1877582126787946e20
900,3.143121041761568e20
900,3.8565673465808015e20
900,2.3387520808063992e20
900,2.204604876730504e20
900,2.5773652559826643e20
900,1.1043370739304e22
900,2.619032450099125e22
900,3.3481014101163763e20
900,2.929315385868536e20
900,2.7511255999339636e20
900,2.1505603338520025e20
900,2.6744420696555074e20
900,2.0274418308960554e20
900,2.4945006432073948e20
900,1.7780923960743746e20
900,3.0587918493384114e20
900,1.7261814599784972e20
900,4.208274004624691e20
900,2.457177380563529e20
900,4.9687204155563285e20
900,1.6987457266195815e20
900,3.097297194953466e20
900,3.6552425786660795e20
900,2.952764505308688e20
900,2.2814644280852355e20
900,5.959410204892073e20
900,2.3485819268049194e20
900,3.740229984237209e20
900,3.997177501876881e20
900,3.7266495632014606e20
900,1.3480470736217305e22
900,3.083833206524088e20
900,2.009225994404261e20
900,1.6601279211631873e20
900,2.8460048903415117e20
900,5.508398900458925e20
900,3.3302886241200826e20
900,4.436237915522872e20
900,4.351289051133825e20
900,2.1160626563104588e20
900,7.504763437883531e21
900,4.078073053476648e20
900,2.4929013266471525e20
900,2.485323136663933e20
900,3.432435718611999e20
900,5.3639231456987926e20
900,4.191757460050796e20
900,2.871252137409925e20
900,2.7602750037842736e20
900,2.9354055018987305e21
900,2.5821367311051316e20
900,2.3142187310389795e20
900,1.0132492874092675e21
900,2.281085656899775e20
900,2.4067425403487568e20
900,2.8556883822683872e20
900,6.023818858464551e21
900,3.842397009226206e20
900,1.774711641040367e20
900,3.669918811913154e20
900,2.6508991769680904e20
900,2.1484564078733804e20
900,2.9230963089399546e20
900,4.350473018799069e20
900,4.922608300048478e20
900,3.303512999434725e20
900,3.93402758269736e20
900,2.027660110984483e20
900,2.1466696181812933e20
900,2.2907435119603846e20
900,4.720878109080993e20
900,2.8482323436502355e20
900,2.2136486745535132e20
900,2.831677067756055e20
900,1.0288085693407051e22
900,5.0110180474352343e20
900,2.6868374656974982e20
900,3.3170698035813e20
900,4.722802163269799e21
900,2.0818329242053178e20
900,2.890279297723663e20
900,2.068239730280163e20
900,3.5435645763110404e20
900,3.9326346029125114e20
900,3.7360287160988454e20
900,3.9950608497514716e20
900,5.4940323138233985e20
900,2.891600109906399e20
900,2.9568341028387894e20
900,3.528671523451151e20
900,3.267400734076169e21
900,1.470422888737429e22
900,2.837313460704786e20
900,3.738846838009196e20
900,3.571554728160282e20
900,2.9893324624525047e20
900,3.5531974849748396e20
900,5.014346002256321e20
900,1.893503833341288e20
900,4.298505346734868e20
900,5.89809696096365e20
900,5.020832889313001e20
900,2.0417232099068094e20
900,3.933472985167439e20
900,3.264410040427024e20
900,2.3074259641391668e20
900,2.503721612157838e20
900,3.772578265312008e20
900,3.215042847284825e20
900,3.804238731096827e20
900,2.8625723968314956e20
900,4.010504218368107e20
900,2.856186547085291e20
900,4.077439760841513e20
900,2.8594505085883043e20
900,3.3058745401689394e20
900,3.1212037504317004e20
900,3.757952770042317e20
900,2.735224753288683e21
900,6.160709377808082e20
900,3.426409031459091e20
900,2.422789456307448e20
900,3.517187891797191e20
900,1.0277704176175436e22
900,3.96979815320934e20
900,5.0594523118514235e20
900,8.904724544025294e20
900,3.433723187326781e20
900,4.0418210338715455e20
900,1.6607183257200545e20
900,2.593860904869292e20
900,2.648564952750251e20
900,2.238966374976645e20
900,2.6649644635231778e20
900,1.1180814778646996e21
900,2.8507711083032848e20
900,4.429690767664773e20
900,3.4039561358670345e20
900,2.7011137024329915e20
900,3.6519067146922295e20
900,3.033137641491405e20
900,3.342960074250615e20
900,2.3860208193704123e20
900,3.5486452123226676e20
900,2.603257717009763e20
900,3.1567570735759904e20
900,2.573904024652238e20
900,7.390774309320124e20
900,2.2997341839980498e20
900,3.5063659477842834e20
900,3.1235098896476006e20
900,3.8393288150553697e20
900,3.718643075014585e22
900,4.324290597473342e20
900,2.7160098735451685e20
900,3.7267904888780194e20
900,2.891175356183745e20
900,4.228025062366162e20
900,1.7950188075040486e20
900,2.6849763190368312e20
900,6.816995776239652e21
900,5.14556155797805e20
900,3.3522332557145486e20
900,2.0702652688735397e20
900,4.6102518550188524e20
900,4.236943068026683e20
900,3.099568645315921e20
900,1.699522543096154e20
900,2.3872991020153786e20
1300,9.785058517178683e20
1300,4.505943624586469e20
1300,7.376570765917411e20
1300,4.3957878848017e20
1300,4.554377595624211e20
1300,2.4484461156668932e20
1300,5.366487231975681e20
1300,4.3707203718078706e20
1300,6.744871318237555e20
1300,5.0128865658980965e20
1300,6.76948313921997e20
1300,5.486320462931001e20
1300,3.849821083379211e20
1300,8.208011101744942e20
1300,5.8308641530605955e20
1300,5.4437089496706607e20
1300,1.0952716180023083e21
1300,6.368513883556475e20
1300,5.561996256253971e20
1300,4.6485924668076025e20
1300,4.3240908809568394e20
1300,5.969340496769516e20
1300,7.777815817393739e20
1300,3.31415403763659e20
1300,7.289915889661976e20
1300,6.278868027269187e20
1300,6.232878546895249e20
1300,1.1158353443737637e21
1300,4.769599555778431e20
1300,8.093243628991438e20
1300,4.4743211581854384e20
1300,8.313943470032059e20
1300,4.8084281224167824e20
1300,3.868985193664333e20
1300,3.7545100585294594e20
1300,1.0411806206790346e21
1300,6.562143196670902e20
1300,3.6493181207257206e20
1300,9.311280495212376e20
1300,5.380417150340465e20
1300,3.9052011417947085e20
1300,5.733683739757777e20
1300,4.284175553855686e20
1300,3.1979739256731035e20
1300,8.476706401179671e20
1300,5.192876749983104e20
1300,3.25463605722304e20
1300,5.283858733761537e20
1300,1.0606404769852841e21
1300,4.734867073341161e20
1300,9.405121835221204e20
1300,1.0141097812360042e21
1300,6.078541478460685e20
1300,3.7947320985402776e20
1300,4.11753426988667e20
1300,1.0866561740983979e21
1300,6.20054177817444e20
1300,6.040759443590914e20
1300,6.285701845270525e20
1300,5.933577829429135e20
1300,5.3662404641134595e20
1300,8.969887403753853e20
1300,8.457737664774997e20
1300,5.716842439076088e20
1300,7.024448085447374e20
1300,3.413694482742011e20
1300,3.836952751607899e20
1300,5.633553505441312e20
1300,3.8401811769439014e20
1300,3.6046624790722124e20
1300,6.542930672884024e21
1300,5.56808876882445e20
1300,3.3864776575555404e20
1300,5.8232400823482345e20
1300,7.375272474633646e20
1300,6.339492207331924e20
1300,3.6246839156135336e20
1300,5.015937853608937e20
1300,9.729656666939077e20
1300,5.391476350660151e20
1300,5.611709531327933e20
1300,5.7056571455450435e20
1300,5.197939928179101e20
1300,7.950125664186394e20
1300,6.689675142214388e20
1300,8.796505989399359e20
1300,3.4056251312422053e20
1300,6.88903492290808e20
1300,4.957811784744159e20
1300,1.1237170463374289e21
1300,7.34105452465524e20
1300,7.248704691668231e20
1300,5.0023762333166345e20
1300,5.646277910258379e20
1300,5.2202841392347677e20
1300,6.443675502936625e20
1300,2.719905819082754e20
1300,4.731205677891984e20
1300,8.559256386670334e20
1300,9.88615125242656e20
1300,6.397629172664327e20
1300,6.321531360829588e20
1300,4.5766354343651384e20
1300,4.2635342118380274e20
1300,4.0467710839188154e20
