Esum,phi,eff
750.0,62.5,5.9e-6
750.0,67.5,6.000000000000001e-6
750.0,72.5,6.100000000000001e-6
750.0,77.5,6.000000000000001e-6
750.0,82.5,7.600000000000001e-6
750.0,87.5,7.9e-6
750.0,92.5,6.5000000000000004e-6
750.0,97.5,8.3e-6
750.0,102.5,8.6e-6
750.0,107.5,7.000000000000001e-6
750.0,112.5,7.600000000000001e-6
750.0,117.5,7.2000000000000005e-6
750.0,122.5,7.2999999999999996e-6
750.0,127.5,7.800000000000002e-6
750.0,132.5,7.9e-6
750.0,137.5,9.000000000000002e-6
750.0,142.5,6.2e-6
750.0,147.5,7.2000000000000005e-6
750.0,152.5,5.9e-6
750.0,157.5,5.5e-6
750.0,162.5,3.6000000000000003e-6
750.0,167.5,2.1000000000000002e-6
750.0,172.5,1.6000000000000001e-6
750.0,177.5,5.0e-7
850.0,2.5,0.0
850.0,7.5,1.0000000000000001e-7
850.0,12.5,6.000000000000001e-7
850.0,17.5,1.0e-6
850.0,22.5,1.8000000000000001e-6
850.0,27.5,3.4e-6
850.0,32.5,4.1000000000000006e-6
850.0,37.5,4.0e-6
850.0,42.5,4.9000000000000005e-6
850.0,47.5,6.000000000000001e-6
850.0,52.5,6.000000000000001e-6
850.0,57.5,5.4e-6
850.0,62.5,8.0e-6
850.0,67.5,7.100000000000001e-6
850.0,72.5,8.200000000000001e-6
850.0,77.5,1.03e-5
850.0,82.5,1.04e-5
850.0,87.5,8.6e-6
850.0,92.5,1.0e-5
850.0,97.5,1.0100000000000002e-5
850.0,102.5,1.1200000000000001e-5
850.0,107.5,9.800000000000001e-6
850.0,112.5,1.04e-5
850.0,117.5,1.1e-5
850.0,122.5,1.18e-5
850.0,127.5,1.06e-5
850.0,132.5,9.1e-6
850.0,137.5,1.09e-5
850.0,142.5,9.3e-6
850.0,147.5,9.3e-6
850.0,152.5,7.800000000000002e-6
850.0,157.5,8.200000000000001e-6
850.0,162.5,5.1e-6
850.0,167.5,3.4e-6
850.0,172.5,1.9000000000000002e-6
850.0,177.5,4.0000000000000003e-7
950.0,2.5,0.0
950.0,7.5,4.0000000000000003e-7
950.0,12.5,8.000000000000001e-7
950.0,17.5,1.9000000000000002e-6
950.0,22.5,1.8000000000000001e-6
950.0,27.5,4.1000000000000006e-6
950.0,32.5,5.1e-6
950.0,37.5,6.4000000000000006e-6
950.0,42.5,5.4e-6
950.0,47.5,7.100000000000001e-6
950.0,52.5,9.5e-6
950.0,57.5,9.3e-6
950.0,62.5,1.2200000000000002e-5
950.0,67.5,1.0e-5
950.0,72.5,1.13e-5
950.0,77.5,1.1e-5
950.0,82.5,1.18e-5
950.0,87.5,1.5300000000000003e-5
950.0,92.5,1.3100000000000002e-5
950.0,97.5,1.3700000000000001e-5
950.0,102.5,1.39e-5
950.0,107.5,1.39e-5
950.0,112.5,1.25e-5
950.0,117.5,1.4200000000000001e-5
950.0,122.5,1.26e-5
950.0,127.5,1.3300000000000001e-5
950.0,132.5,1.2299999999999999e-5
950.0,137.5,1.06e-5
950.0,142.5,1.3300000000000001e-5
950.0,147.5,1.16e-5
950.0,152.5,1.0700000000000001e-5
950.0,157.5,7.7e-6
950.0,162.5,6.9e-6
950.0,167.5,5.1e-6
950.0,172.5,3.5000000000000004e-6
950.0,177.5,1.0e-6
1050.0,2.5,2.0000000000000002e-7
1050.0,7.5,3.0000000000000004e-7
1050.0,12.5,8.000000000000001e-7
1050.0,17.5,1.6000000000000001e-6
1050.0,22.5,2.9e-6
1050.0,27.5,4.3e-6
1050.0,32.5,6.000000000000001e-6
1050.0,37.5,7.5e-6
1050.0,42.5,7.7e-6
1050.0,47.5,7.800000000000002e-6
1050.0,52.5,9.1e-6
1050.0,57.5,1.06e-5
1050.0,62.5,1.3000000000000001e-5
1050.0,67.5,1.5600000000000003e-5
1050.0,72.5,1.2000000000000002e-5
1050.0,77.5,1.26e-5
1050.0,82.5,1.74e-5
1050.0,87.5,1.6800000000000002e-5
1050.0,92.5,1.8500000000000002e-5
1050.0,97.5,1.62e-5
1050.0,102.5,1.73e-5
1050.0,107.5,1.87e-5
1050.0,112.5,1.8900000000000002e-5
1050.0,117.5,2.04e-5
1050.0,122.5,1.6400000000000002e-5
1050.0,127.5,1.79e-5
1050.0,132.5,1.86e-5
1050.0,137.5,1.6400000000000002e-5
1050.0,142.5,1.6800000000000002e-5
1050.0,147.5,1.35e-5
1050.0,152.5,1.41e-5
1050.0,157.5,9.2e-6
1050.0,162.5,7.7e-6
1050.0,167.5,8.200000000000001e-6
1050.0,172.5,4.4e-6
1050.0,177.5,1.7e-6
1150.0,2.5,0.0
1150.0,7.5,7.000000000000001e-7
1150.0,12.5,1.5000000000000002e-6
1150.0,17.5,2.0e-6
1150.0,22.5,3.7e-6
1150.0,27.5,4.1000000000000006e-6
1150.0,32.5,5.5e-6
1150.0,37.5,8.400000000000001e-6
1150.0,42.5,9.7e-6
1150.0,47.5,1.1900000000000001e-5
1150.0,52.5,1.3200000000000002e-5
1150.0,57.5,1.39e-5
1150.0,62.5,1.3399999999999999e-5
1150.0,67.5,1.73e-5
1150.0,72.5,1.59e-5
1150.0,77.5,1.9e-5
1150.0,82.5,1.94e-5
1150.0,87.5,2.2700000000000003e-5
1150.0,92.5,1.9900000000000003e-5
1150.0,97.5,2.4000000000000004e-5
1150.0,102.5,2.58e-5
1150.0,107.5,2.06e-5
1150.0,112.5,2.2400000000000002e-5
1150.0,117.5,2.2400000000000002e-5
1150.0,122.5,2.2400000000000002e-5
1150.0,127.5,2.39e-5
1150.0,132.5,2.05e-5
1150.0,137.5,2.19e-5
1150.0,142.5,2.11e-5
1150.0,147.5,2.0700000000000002e-5
